Team,WinPercent,Year
LA Chargers,25.0,2015
Dallas,25.0,2015
Cleveland,18.8,2015
Tennessee,18.8,2015
New England,79.0,2014
Seattle,73.7,2014
Dallas,72.2,2014
Green Bay,72.2,2014
Denver,70.6,2014
Indianapolis,68.4,2014
Arizona,64.7,2014
Pittsburgh,64.7,2014
Detroit,64.7,2014
Philadelphia,62.5,2014
Cincinnati,62.5,2014
Baltimore,61.1,2014
LA Chargers,56.3,2014
Buffalo,56.3,2014
Kansas City,56.3,2014
Houston,56.3,2014
San Francisco,50.0,2014
Miami,50.0,2014
Carolina,47.1,2014
New Orleans,43.8,2014
Minnesota,43.8,2014
Cleveland,43.8,2014
LA Rams,37.5,2014
NY Giants,37.5,2014
Atlanta,37.5,2014
Chicago,31.3,2014
NY Jets,25.0,2014
Washington,25.0,2014
Las Vegas,18.8,2014
Jacksonville,18.8,2014
Tennessee,12.5,2014
Tampa Bay,12.5,2014
LA Rams,76.2,2021
Tampa Bay,73.7,2021
Green Bay,72.2,2021
Kansas City,70.0,2021
Dallas,66.7,2021
Tennessee,66.7,2021
Buffalo,63.2,2021
Cincinnati,61.9,2021
Arizona,61.1,2021
San Francisco,60.0,2021
Las Vegas,55.6,2021
New England,55.6,2021
New Orleans,52.9,2021
LA Chargers,52.9,2021
Indianapolis,52.9,2021
Miami,52.9,2021
Pittsburgh,52.9,2021
Philadelphia,50.0,2021
Baltimore,47.1,2021
Minnesota,47.1,2021
Cleveland,47.1,2021
Atlanta,41.2,2021
Denver,41.2,2021
Seattle,41.2,2021
Washington,41.2,2021
Chicago,35.3,2021
Carolina,29.4,2021
NY Jets,23.5,2021
NY Giants,23.5,2021
Houston,23.5,2021
Detroit,18.8,2021
Jacksonville,17.7,2021
Philadelphia,84.2,2017
New England,79.0,2017
Minnesota,77.8,2017
Pittsburgh,76.5,2017
New Orleans,66.7,2017
LA Rams,64.7,2017
Carolina,64.7,2017
Jacksonville,63.2,2017
Atlanta,61.1,2017
Kansas City,58.8,2017
LA Chargers,56.3,2017
Seattle,56.3,2017
Dallas,56.3,2017
Baltimore,56.3,2017
Detroit,56.3,2017
Tennessee,55.6,2017
Buffalo,52.9,2017
Arizona,50.0,2017
Washington,43.8,2017
Cincinnati,43.8,2017
Green Bay,43.8,2017
San Francisco,37.5,2017
Las Vegas,37.5,2017
Miami,37.5,2017
Denver,31.3,2017
NY Jets,31.3,2017
Tampa Bay,31.3,2017
Chicago,31.3,2017
Indianapolis,25.0,2017
Houston,25.0,2017
NY Giants,18.8,2017
Cleveland,0.0,2017
LA Rams,79.0,2018
New Orleans,77.8,2018
New England,73.7,2018
Kansas City,72.2,2018
LA Chargers,72.2,2018
Chicago,70.6,2018
Houston,64.7,2018
Indianapolis,61.1,2018
Dallas,61.1,2018
Pittsburgh,60.0,2018
Seattle,58.8,2018
Baltimore,58.8,2018
Tennessee,56.3,2018
Philadelphia,55.6,2018
Minnesota,53.3,2018
Cleveland,46.7,2018
Atlanta,43.8,2018
Miami,43.8,2018
Washington,43.8,2018
Carolina,43.8,2018
Green Bay,40.0,2018
Denver,37.5,2018
Buffalo,37.5,2018
Cincinnati,37.5,2018
Detroit,37.5,2018
NY Giants,31.3,2018
Tampa Bay,31.3,2018
Jacksonville,31.3,2018
Las Vegas,25.0,2018
San Francisco,25.0,2018
NY Jets,25.0,2018
Arizona,18.8,2018
